plaintext,ciphertext,key,cipher_type
tmykmb xktxorozlangc,gnbpny cpgclilaozmtx,None,Atbash
laxsonc pocgvfocwgly,qpqreyckhcpiiucecbqm,fptzq,Autokey
etzu qhawfiquodnkxbs,vgaf jszdurjflwmpcyh,None,Atbash
hgieyosupeiyd jzlehw,strvblhfkvrbw qaovsd,None,Atbash
sjqiur e thnnizwdoqo,su ndjiretniwooq hzq,3,Rail Fence
nyrkexcqiupjuigxkinw,neiukykxqujixiwrcpgn,3,Rail Fence
nfmxscklzyqbkywll ys,hzuhwppxwqslvxubmxwo,uuike,Autokey
ueycakksveinutzqzetf,yicgeoowzimryxdudixj,4,Caesar
zl bkrqlintjfsqgszps,vl fzxrljuonacrtcvmc,hfyesatbjnzlqugmrxcokpwdiv,Substitution
dwvpsqqnderabzvfzy  ,dsdbzwpqneazfy vqrv ,3,Rail Fence
pdcujkryg  hum pyvao,kzoogfnka  epi bssvk,vwmux,Vigenère
wdknwv lcifap snavdf,xouiurqvpeanapasakqx,blkvy,Autokey
cnvjznqtzpkbcrageey ,cgsuzglyzjrocdxbwwa ,xocfwibtkurhegnjldvypsmqaz,Substitution
kyxrpepiucwrwobxugmh,kxppuwwbumyreicroxgh,2,Rail Fence
yuduqjpayqp xnrjkdmm,gclcyrxigyx fvzrsluu,8,Caesar
mctb dc odcipmuolnyk,xnem on zontaxfzwyjv,11,Caesar
mohjzhsgbnmhhzgrb pw,irxqpxzathixxpact yo,dtfsjmaxbqueihrykczglnowvp,Substitution
zxqjvnedwdcbylfzsh p,zbipdluvcvwxantzgr j,"(25, 24)",Affine
rozdbaco ukafhhyydmu,evcoiflv njfuaazzopn,"(3, 5)",Affine
dmxiuugwejscqnsglken,delsccmigvwaqhwmbygh,"(3, 20)",Affine
dpsddrtwtnrcmgvqmejz,wmdwwgarasgzvnujvtei,"(23, 5)",Affine
bequapfgyfbaisrgo  z,bkjozqjwsfqfoqwhovfq,agtuz,Autokey
fslmdnjeklqttewhdsmm,uhonwmqvpojggvdswhnn,None,Atbash
uiigiywbkqaubvisjnxi,pnnhntfzrlypzqngxbin,yzvawuhdnxroebmklsgjpqfitc,Substitution
hfbhiqopbszugjtimtbm,usouvdbcofmhtwgvzgoz,None,ROT13
xqatiyo boodsnvcaww ,fdeuivenuwmrfojqdoji,ineba,Autokey
ijs wmjkrofliwofxevy,mvtonuscekrusnckimrm,embbr,Autokey
dgnxrzoihquzjspiekzh,wbtdesvoqimslckorysq,fzhwrgbqolypjtvkiecumandxs,Substitution
bgpolgzd jejboggdvhg,ytklotaw qvqylttwest,None,Atbash
ztly eovniohuruthkcv,znhtvitklooucyehrv u,5,Rail Fence
itqvkjqqhtffnxqkwtrk,clkevrjgcdovdejpbgoa,usujl,Autokey
tiookxpqnbgz csavhme,qfllhumnkydw zpxsejb,23,Caesar
spdxeprp glvsos winc,hkwcvkik toehlh drmx,None,Atbash
whj ig jr kxftgubtzm,itv us vd wjrfsgnfly,12,Caesar
ydzytvmgcrewrdu bwxk,ouqpaldxtyuniub rnob,qrrrh,Vigenère
zyvb xgzpwqawonxkhgw,odgiuweuqjngvdjnkduj,pflhh,Autokey
dawabgmteguec pzxtiw,wpgprxyebxibc zjtehg,prcwbmxohlvdyaqzfkseingtuj,Substitution
sytgybiativb syxxqmh,cbmrdlltenfe ljchtfs,kdtlf,Vigenère
asiqbuwswiusmchddozc,phxfqjlhlxjhbrwssdor,15,Caesar
qfm fvrjppnlbohytmtu,dsz siewccayobulgzgh,None,ROT13
slljafxbsfgusfuxdjrx,pecbqximbflrtxzdxbwr,xtrsq,Autokey
ptmhcimwwntjwskfesoc,umnkhvnttymgtbrodbjh,"(11, 11)",Affine
jfyqagelagu yujoo cr,lxryawjiawd rdluu pn,aqpejxwhclmitbuoynzsdvgfrk,Substitution
aepbwuqeigykoihfcezc,zvkydfjvrtbplrsuxvax,None,Atbash
uxvkeectjot x csfdug,fcepvvxgqlg c xhuwft,None,Atbash
njewfanlwymetlsyfzfp,mqvduzmodbnvgohbuauk,None,Atbash
o djpgyvgmeugiackpex,g rlfowzoiqaomuskfqx,"(25, 20)",Affine
babstinipfpwcenukudl,onofgvavcscjprahxhqy,None,ROT13
j l fdqzuzxqhnckbnoq,yfyxqmdkheagghbhrubs,psnkl,Autokey
liwgyyzoecatyvzydkpr,gltvejhkkaysmzbywikq,vdxpg,Autokey
sxblqpevrevkjcm ywwb,vewujslqaxyrelf bdrk,dhvjt,Vigenère
sepkdeiuki bjvbhzbjj,skzeuihbpi bjkebvjdj,5,Rail Fence
upnokjvmgsznqsmrjrnh,fkmlpqenthamjhniqims,None,Atbash
jkrpnzqiadxmggkhqayt,qpikmajrzwcnttpsjzbg,None,Atbash
tzfvsgtrnjmejbupbokv,kqwmjxkieadvaslgsfbm,"(1, 17)",Affine
mglvcjiqfjrriyhnsgcx,kejtahgodhppgwflqeav,24,Caesar
 yudwbwefpy zcaaptqx, habwcwdosh nleesqzf,eclbdoviugykxprszmtqajwfhn,Substitution
c iuvdtpfmjwquffyjqi,x rfewgkunqdjfuubqjr,None,Atbash
pobfythtxlz ymtpqaly,klyubgsgcoa bngkjzob,None,Atbash
yfldekzixgrwnjdm nxv,buowvparctidmqwn mce,None,Atbash
ssitgrlhupgr czhtr h,kkifsptnazsp mbnfp n,"(21, 22)",Affine
rtpigvjkjiw obvceidz,hfczwydbdzs euyrazkn,ourkapwtzdbqxiecvhlfmysgjn,Substitution
dnoyngtfswmmfxlghlwt,tdeodwjvimccvnbwxbmj,16,Caesar
slasxocewhylwniccxlp,bknbcvdthexkhazddckq,"(21, 13)",Affine
zmzpvgxoaorwg ydcgsb,dxdbkslqeqvrs ocasip,epacjmswhtfzxgqbuvinykrlod,Substitution
h z ktscyfxzlqaxvefi,f p goeaobsljgwshcve,yqwvm,Vigenère
mhfoeyprsxgxhtxd xcz,qtvwzylrjodotcoi ogb,fegizvdtnsxkqpwlmrjchauoyb,Substitution
xhrhscl hrnbevxprcee,bpdpuif pdnrqtbvdiqq,"(17, 0)",Affine
rfcbuehvomlrckcglwyu,aqhejnwmrliahfhtipvj,"(3, 1)",Affine
bwukzlxt txxmvxmdxgu,mtmrxwul avijnekouyb,lxshy,Vigenère
o gmopzeptrswtxelwrl,x ymxzcvzfobwfhvgwog,jupnvlyqskagmrxzeobfdiwhtc,Substitution
dnnuujgfk o  uscvgps,xdcpsdwuf m  oirqeji,uqpvy,Vigenère
skdzbvrxgtnaisgrvtto,hpwayeictgmzrhtieggl,None,Atbash
zozglhbuboxcnrelzwia,rgrydztmtgpufjwdroas,18,Caesar
pspyvwrlunhkehkjtudr,hwqgvovmcnzofpkbxvlr,sebia,Vigenère
pzfqlwdwltetvxiiibfn,cmsdyjqjygrgikvvvosa,None,ROT13
oskaekoua qdfckresii,lhpzvplfz jwuxpivhrr,None,Atbash
jhsbmogzrrwcddumcfhp,jqdruitxssawnnluwzqb,vrwnmztqejfyucibgsdplhakox,Substitution
jnpvqze tmgixbzwwtyh,qtrfdircocfmkulceqzg,hgckn,Autokey
qiulteokvuqrqgunbicw,cugxfqawhgcdcsgznuoi,12,Caesar
mayhhpqiqdoyspcdcngy,znluucdvdqblfcpqpatl,None,ROT13
mjpwc phubbgcjcupnmc,zwcjp cuhootpwphcazp,None,ROT13
o n vvzdkvuettgnxdn ,l p mmaygmzovvspwyp ,hkiyofsretgdnplxbcjvzmuwqa,Substitution
xwem zephyo wkjbnxqb,cdvn avksbl dpqymcjy,None,Atbash
kashsrty bofahl syqr,vilaluzw efmiaq lwbu,iekjcmsadtvqorfnbulzhpxgwy,Substitution
sdncawgsovasvncpmmpc,mncpqrxmavqmvcpouuop,qepnsjxtghzbucaokwmiyvrfdl,Substitution
rzgc uxtkjajzbrbfzvd,emtp hkgxwnwmoeosmiq,None,ROT13
zpcyvczlfgqtw gobywu,ejguuhtpbfvna cngsaq,fuewz,Vigenère
gppmaovghkht xksbmsw,tkknzletspsg cphynhd,None,Atbash
uvzmhjtsibs chbbrzun,klpcxzjiyri sxrrhpkd,16,Caesar
wrbonzdv gnjucizutup,wn uurozvgjcztpbdniu,3,Rail Fence
segelqxqlwrv cn  kat,yvecgibwphhsdnjeixcg,gryyv,Autokey
mvubnyecdbyytbmzm oe,ppbohkzweowcvenxkgpq,duhnu,Autokey
x ottytozawzquawnyek,nxkwqvgcstusetasmoyk,qkwdx,Autokey
wookcpsnoscqbhbzaocd,yrduolgbyuriovtbqpje,cdpkm,Autokey
byjezqhuogezuspzpoux,ybqvajsfltvafhkaklfc,None,Atbash
npccvksw ywjexsriodh,hjwwpemq sqdyrmlcixb,20,Caesar
dppkmulcyqmevecfvgko,pbbwygxokcyqhqorhswa,12,Caesar
jasfilsfqlwaerz tjik,gputausxvthsjhkjtnzj,xpcos,Autokey
trkywbkgwndibbbgjjty,olkqswegojycbtxbdjlu,vuasw,Vigenère
cdxegllykh mrhzmmzgv,gdkwuccvyi pjizppzun,rxgdwfuibqycpomahjeslntkvz,Substitution
tfxnbzzzuvhtelrlloiz,pbtjxvvvqrdpahnhhkev,22,Caesar
kdzcgocoptlfkvlgj ag,xqmptbpbcgysxiytw nt,None,ROT13
tawmaaxjktmqnfsjkmbl,elhxlliuvexbyqduvxmw,11,Caesar
lqkubdjpvkbgcztbfllz,qyglpsxwogpazecpfqqe,npzsrfamvxgqjbhwyduclotike,Substitution
umirfkzsvijfvpqhpotj,iawftyngjwxtjdevdchx,14,Caesar
ptuxrsyrjyzluaiannrx,cghkeflewlmyhnvnaaek,None,ROT13
ttxytitibm kekxelo i,ggklgvgvoz xrxkryb v,None,ROT13
kpw ysjdipdnajxvdqql,cli wgvfolfxkvpbfssj,"(7, 10)",Affine
lgfrljapbcwqo lehnka,rmlxrpgvhicwu rkntqg,6,Caesar
vhayfhetbjtkaivaaynv,ppviycltzoaotjetkyvq,uivkt,Autokey
ekmrdcuwsy zelqgudxi,ncxsjgeijbptadotthiy,jslbg,Autokey
qpfhuhkyrhsleisrldjq,dcsuhuxleufyrvfeyqwd,None,ROT13
qskczsiqhpd esunqiuf,ncuficpnrdg ecjtnpjk,avfgekwrpzusmtydnlcbjhqoxi,Substitution
ufvgp hlkakaxmkyuiln,xiyjs kondndapnbxloq,3,Caesar
kdxrrxllsdgtrymdubwd,tihnnhwwxiranvfilkmi,okcizdrugytwfjbqpnxalsmhve,Substitution
lnvyvklhpqxddz djdtr,lvvlpxd jtnykhqdzddr,2,Rail Fence
loo kehwzfnwhtzjdhco,wtz josbkexhmeytomnn,lflzk,Vigenère
iwfhslhccerhbqdrsilh,ifshcrbdslwhlcehqrih,2,Rail Fence
bknzeiuo sywosagpdkj,ylwizjebmwgqcfselrcj,xbjjv,Autokey
aphxbkjmncqwsjjgjfos,uxfpsdhynkqtchhmhaoc,uskilamfrhdbynoxqwcgeztpvj,Substitution
l yummumupunpjazqmaw,o bfnnfnfkfmkqzajnzd,None,Atbash
anvacgtxrhz bvwacvvv,regrlzmaswu ogdrlggg,"(23, 17)",Affine
hpiivbopsmklbudvrbzo,ucvviobcfzxyohqieomb,None,ROT13
wleibiomyktosanyahnl,wbysaliimkoayhleotnn,3,Rail Fence
ibhmjecrlfxwhkfhnhih,gigkfmdyxobyyvkejosm,yhzyw,Autokey
nlj qlrgk yflinpfjoj,okk nrsfl vlmhomlknk,bzbxg,Vigenère
wsuzygtkmytgvfr owgm,jfhmltgxzlgtise bjtz,None,ROT13
bcpkpbrkb aeefyzzwxj,bpprbaeyzxckbk efzwj,2,Rail Fence
dzscmidyqdk bysqesrb,biauogbrybs nrayhawn,qnubhkecgzstoxpmywavdjflri,Substitution
m xodxwmfzgispmhloqo,j xrzxnjwvbpotjicrur,meszawbiphdcjkrtuyoqgfnxlv,Substitution
kysfwtsksouhtevxiggd,pbhudghphlfsgvecrttw,None,Atbash
aakamhvquqwyymtpjcai,chsmihvaucdtogjlhamb,chimw,Autokey
xtyrhpdzqmbrciodbxrq,wurqhoespmasvhoccqqq,zbtza,Vigenère
wkobvtlovowhjtdgryuq,rfwjemdwewrclmbgtnpq,ojabzsgcvlfdkiwxqthmperuny,Substitution
 ltyg utejfqeueroeqa, kgxt zghyabhzhuphbj,"(19, 9)",Affine
stlwlvjolzissnsgyaoh,fgyjyiwbymvffaftlnbu,None,ROT13
evhjcijvodd hoylqonr,mdprkqrdwll pwgtywvz,8,Caesar
 wpebrw lfnovpusudeo, toveit asurwozfzyvr,"(23, 7)",Affine
gpwwagcelbtcjqetlcsm,bvnnkbzyoirzgmyrozcd,kiztyjbspglodwavmfcreqnhxu,Substitution
 eljyhirqlmdlxcahi y, rywluvedyzqykpnuv l,None,ROT13
jizsdoqjxgzgnefvigkg,dhqixtfdnmqmsvlwhmom,gpjxvlmchdouzstyfbieawknrq,Substitution
hzqp cdorr huebevhcl,hq dr ubvczpcorheehl,2,Rail Fence
qpoxhpotqhzszdtbntly,lmzuzklenzupkalwkeiq,vxlxs,Vigenère
 vqkmfxybervrlynhxwk,wwvjlssolqwspmcecohi,jbfzz,Autokey
awtpxzubhimbln z ypm,jfcygidkqrvkuw i hyv,9,Caesar
meouni ztztjksfbxxav,btdjcx oioiyzhuqmmpk,15,Caesar
z picgeqmp efme uzyc,g ujhrzdtu zitz ngxh,"(9, 15)",Affine
mzoimopjzpznsteaxdri,wveuqylzltjjifikttdm,kwqme,Vigenère
wbkpbxnktrusdzmzlzey,dypkycmpgifhwanaoavb,None,Atbash
ahbjivksmdtwdqln pru,luwlsgxnonejysvy cmw,lnvck,Vigenère
hscvzzegejvkn mweazm,shxeaavtvqepm ndvzan,None,Atbash
rzqpixsxaltybrzuqevt,emdcvkfknygloemhdrig,None,ROT13
vsmtnoqefzhprajhojyg,ifzgabdrsmucenwubwlt,None,ROT13
kdveuqyknans esobgvd,cqrpwabfrudqxrsbttzv,snwlc,Autokey
apsadpq k enhcfkmudd,aqhdpp ncudsdkefma k,4,Rail Fence
hyrhlrt gwulkqsbwcja,eajhzov ywiimispteba,xcsao,Vigenère
eujyeegwuprlfxhaxwox,cbsysiafstvrbrwrible,yhjao,Autokey
jcikvnejfkn ozya zdi,ydvbikjymbk nurx ugv,"(3, 23)",Affine
 dpcbflad kmumnhgczi, zlyxbhwz giqijdcyve,22,Caesar
aanaqewxssx nkazffpo,ddqdthzavva qndciisr,3,Caesar
cryfknevbkwqavupvsjv,xibupmveypdjzefkehqe,None,Atbash
socyftsqayleeqizzdir,kicaxrkwoanqqwshhjsd,"(7, 14)",Affine
qfxbwevadjwplqfcoiou,qwdlofbeajpqciuxvwfo,3,Rail Fence
qpfzhrgmifixiraltctf,fmypaiwduyuxuisnhqhy,srqgjywauobndztmfichlkvxep,Substitution
gnlejejokkwsvdfmdwtp,qtecoophipgyobkwjpru,kgtyf,Vigenère
szsnxtkkbwslxmjhjgvs,vkhbhwvzpgvwmatkuvjc,dlpok,Vigenère
atedrbidlivtenjxvbzr,ngrqeovqyvigrawkiome,None,ROT13
zqargedbracnmtwy ddx,mllumdtbiggqnkwaapwt,nvldg,Autokey
ikiilolhzixizs hxqov,wywwzczvnwlwng vlecj,14,Caesar
yonlqbuyupmml phmqr ,hfkuvsbhbappu aopvq ,"(21, 23)",Affine
gjdtcojyahxsdkealiip,galjyhaidjxeitoskpcd,5,Rail Fence
lxuczwyoj ajbxkdahks,lzjbaxcwo jxdhsuyakk,3,Rail Fence
pnxaegtgsyrnrjidwobt,jhruyanamslhldcxqivn,20,Caesar
xrzfjmfzzjvcdefiusrc,zlfwigwffitysawuebly,nqysawpxuirmgohvclbketdzjf,Substitution
iywuwhm xsawvhqlcrfs,pfdbdot ezhdcoxsjymz,7,Caesar
ycylqcdnptsabcxwrwve,yprcntwwydsxvlcaceqb,5,Rail Fence
cfltdcqyaezqrblxgsbl,zlkaeevjthbgpbpwwjcw,xgzhb,Autokey
 xnux xkaoolkisbrrjm,rmixaauxulbiuigpcbre,epvdd,Autokey
tstgbyhtgwlkcdnjskek,ghgtybsgtdopxwmqhpvp,None,Atbash
xwuydbnfrjvsdbchwpby,kjhlqoasewifqopujcol,None,ROT13
qsgaswmyvpwfkhwhyeto,jhtzhdnbekdupsdsbvgl,None,Atbash
xndmywnmhlsdqreknuxi,cmwnbdmnsohwjivpmfcr,None,Atbash
uyupn dpedgewymfhdta,fbfkm wkvwtvdbnuswgz,None,Atbash
tniwqsagghetqsvlihms,lfaoiksyyzwlikndazek,18,Caesar
wludqbdiblmlwnwmxmxw,ncluhsuzscdcnendodon,"(1, 17)",Affine
lvstojpiqlbhwyzoelpp,zjozuxdewrpvsefcshvv,oowgg,Vigenère
orstreraderqlxgejfyv,ordljrteaeqxefvsrrgy,3,Rail Fence
ypnlkfyzrbkckvmffit ,tkigfatumwfxfqhaado ,21,Caesar
bnsajgtmsnhvvgch z l,qrsrxvxmjbwzvxqw d l,pearo,Vigenère
mkftezbps lfdqvjyses,zxsgrmocf ysqdiwlfrf,None,ROT13
edobxkzamoyvq xkplsf,nosxrzyuqspgf rzvike,uxmonehclbziqdsvfwkatgjrpy,Substitution
h  jamkujjpbgzomu bs,o  qhtrbqqwingvtb iz,7,Caesar
chzjlzdxemuyyscntqzn,sxpzbptnuckooisdjgpd,16,Caesar
aodktwitthhpvwusfvpm,yumxcjacchhfijeznifo,ysrmkndhagxbolufptzceijqvw,Substitution
lidldixppr otyhtzzkv,puzkhmjlov sfugxdlgu,emwze,Vigenère
bnetcgmqenmlfjjacyhn,pstqbrjytsjklmmcbgvs,cpbatlrvzmokjsxdyehqniwfgu,Substitution
beajvqasom pwwvlzstl,yvzqejzhln kddeoahgo,None,Atbash
npatvlrhyzroucrbggyp,nruyplhocgpavyrrgtzb,4,Rail Fence
tlyglvtigzbzasiwvqqe,mqdzqymlzwiwptlryhhn,"(19, 15)",Affine
yildooeximfyzrqfmgaa,yloeifzqmaidoxmyrfga,2,Rail Fence
eydgyrqqchvasimqwpxf,lzwpzyjjhegdntbjvuka,"(15, 3)",Affine
nelsnhfttezegqbexjuh,gujhgotxxuaufpqumewo,yqziutfodevjcglkpnhxwrbmsa,Substitution
ocykvekrqt qtzmlxyum,oktucerqzymyvq mxktl,4,Rail Fence
urvwicudyrreeaeq pcq,pqgxtvpmfqqddndz ivz,"(17, 13)",Affine
jkfyoklzjbzdwdrnzvkc,wxslbxymwomqjqeamixp,None,ROT13
h kcxa ccbklsustopoz,s pxcz xxypohfhglkla,None,Atbash
ve lcdtkzrxnbt kfhps,ev oxwgpaicmyg puskh,None,Atbash
umthlljntotjvwmawtso,hzguyywagbgwijznjgfb,None,ROT13
yfkffjslwsebqbferwhz,lipilwvqzyrevelrubkf,ndfdg,Vigenère
awrsrzuyhqkcsqkoqyod,nbmpmkvhijrtpjrdjhdw,"(3, 13)",Affine
tfiydkktgkjsrqxwbfzj,gurbwppgtpqhijcdyuaq,None,Atbash
xshpokiorvjcxvubbunz,kfucbxvbeiwpkihooham,None,ROT13
aji nvqdz mi arrcwmj,irq vdylh uq izzkeur,8,Caesar
cvkoscmuhasdtrfbsoby,mfuycmwerkcndbplcyli,"(1, 10)",Affine
oyxgemdasq pe sdxoii,gvyloeabxa hb tihgfj,sxbfk,Vigenère
kk nbwhjnbhiumppgedd,ff kqzamkqatnrwwhvcc,"(19, 23)",Affine
ueychpzgaeditffzndjv,hrlpucmtnrqvgssmaqwi,None,ROT13
lshhczwogdpgftkol va,kewvjyidukosuhrnx ko,zmpoh,Vigenère
ypdtxzydaspqlbxfrgph,yxalrptzdsqbfghdypxp,3,Rail Fence
en ifneclhwskmctokik,py tqypnwshdvxnezvtv,11,Caesar
icxqgtlvdyoak bwnnlm,wczxjhlxkbcam izbnnt,oachd,Vigenère
nlmhosoovclyojcimjkq,ayzubfbbipylbwpvzwxd,None,ROT13
rczvuvace g xjc xgrp,jqmlnnopu z pxp nzjd,sonqt,Vigenère
gtslxhlhoygrpwrxayaq,fgvszgykvafesdtwnbhs,zndhc,Vigenère
bjsscrybyme olr slku,vlkktyavadr spy kpfu,hvtqrxezwlfpdosbcykiujgman,Substitution
ftpmphwxldactgnjysjr,mawtwodeskhjanuqfzqy,7,Caesar
 vcfpixyaiyhbrefha a, cpxaybeh vfiyihrfaa,2,Rail Fence
 amkrbaywcnimlxmkifj, mgizhmsuktugjfswcdr,muyig,Vigenère
xp qkmxyhaxjzowzoudb,kc dxzklunkwmbjmbhqo,None,ROT13
cvpgdiscpwxozbdlljey,xektwrhxkdclaywooqvb,None,Atbash
iopouyymcgday ylynzn,bhihnrrfvzwtr rergsg,19,Caesar
rib rfmrkjrrbpkseqcc,hnr rkcwajwhgfkxuvsc,qfqaf,Vigenère
gmcaclrxpkxeuqajopaq,yiowohdcqpczflwmvqwl,wtonzuyxamphikvqldsrfebcjg,Substitution
k jlsmoymgtuffdfcwc ,p qohnlbntgfuuwuxdx ,None,Atbash
keimrbmoggiqscrquomz,kmsmeboqcozirgirumgq,4,Rail Fence
fckeywnkehkyalparhdn,uxpvbdmpvspbzokziswm,None,Atbash
zyopqvmi twiv qthmdi,lrwdbhfq hhuo yhsywq,mtiol,Vigenère
vnnlwcwurkrrhjqfvupu,uwmksxjhcgtnbaawmbyk,zjzzw,Autokey
mhalzw efpgkgkczwrhj,dmxptn jctablhgtnwen,rfxeu,Vigenère
ozikg qbxoxtjuqgwwad,kndohbpjhukjkredpfut,woveb,Autokey
epejntj izlqaglpndoy,vkvqmgq raojztokmwlb,None,Atbash
ol kxajdjnyudcegwrja,vzjrdouqtkydglrequle,howhg,Autokey
oujxrvpk vkcnpzwxccg,bhwkeicx ixpacmjkppt,None,ROT13
ycpzszmktibbuij bnls,nlygdgthwvsspvo smad,"(19, 25)",Affine
slsfwuvedgvcnlgvufkz,ynyfdbksjvkptnvkbfoi,wmpjsfvrlhonxtcegqyzbkduai,Substitution
kpxpxjclmoustpfqbejp,jskwgifytxtvgwoperqy,zdnhj,Vigenère
zwjcgoujbwtwhllcttsb,zbtwjwctjutlscowlbgh,5,Rail Fence
gknqwdxj cseafhnpypq,jlgbroye hpvtcqgufub,"(7, 19)",Affine
kelwkmkareu flybtqpy,bdgxbwbrqdt uglyfzkl,ryenduiovhbgwpakzqmftcxslj,Substitution
boe oyowxdlex wmkwgq,ylv lbldcwovc dnpdtj,None,Atbash
tqikvyshnf  buwuhtka,uidvxzkcyh  cmrfjucv,bsvlc,Vigenère
abqq ruochdrumaajqja,aq ucduajjbqrohrmaqa,2,Rail Fence
gsicolhlev vklgfmeqs,lvrzjaoafe exalidfpv,"(3, 19)",Affine
ymmnhbpdvusrllptjmnu,ccefaffvnnwhddixzefn,eqsst,Vigenère
mfldrsmrnwvkqnzwirjz,mmqjfsrknrzlrnvzidww,4,Rail Fence
gjxfdbmdjqgxkkwqstme,oqnvcilcqfonrrmfzple,hiwcevoxyqralkbdfjzptgmnsu,Substitution
wsrfkohtglxmaggpe jf,dhiuplsgtocnzttkv qu,None,Atbash
gkyssylppojqfp tagum,suqtmevnhghbuebcqljz,mksbu,Autokey
rhduyohdhutozhlzqu p,gmczlfogbshvcofsetua,pfzfn,Autokey
qtnehkikbtmqfqzfdemj,dpanxabxfawyprsrtjci,nwnjq,Autokey
dalpspocmjrkqdrd ajn,jxbshvlspyxhgggj xzq,gxqdp,Vigenère
jodwtpkaewtejqnctwsv,xwtkvbceykvyxgrovkqf,"(5, 4)",Affine
tpbdzaejkayohowitu c,gcoqmnrwxnlbubjvgh p,None,ROT13
uppdmwfyfzuxjhlbtgp ,uftpyzbgpfulpdwxh mj,5,Rail Fence
xkorucsenwppxidvtgss,htleembbagzyuvnfcdfc,kjxnk,Vigenère
gojyeuenbmlrtfiacl k,tlqbvfvmynoigurzxo p,None,Atbash
urorpfljwbilbmonshib,wfshwzcxnqnwkipvdiup,coeqh,Autokey
gtjvanrhekagrtilwtpe,xkqolygmtflxgkbudkct,"(15, 11)",Affine
pwyqharxf ijhv msank,lgmonsrjh qtnd cusfw,"(3, 18)",Affine
xxkoytukdbmzjpmgllxr,kkxfzcrxwsboiubpmmky,"(15, 3)",Affine
ropvpwt hloslasrmg p,wadrsbf vhrxxoours d,fmowd,Vigenère
puqpjjngvhvubxuump c,kfjkqqmtesefycffnk x,None,Atbash
nijvffdbohyahgcmoirs,topblljhunegnmisuoxy,6,Caesar
ylk voqwixhyexwibrgk,bop eljdrcsbvcdryitp,None,Atbash
tevutcxttxvadfyqkfcu,tvtxtvdykceuctxafqfu,2,Rail Fence
gowwpcwfu gra xgyuow,tlddkxduf tiz ctbfld,None,Atbash
ddcq rgqmqe mmfnrqdv,kquxdujscdvtcyvrecpa,hnshq,Autokey
vwqqnllyjywtqtawdsdj,xqsynnfaryynsbayxulj,cucia,Vigenère
elzabftbpxqjratrb rq,stgqhjeapyvcspqhkerj,oihqg,Autokey
zfkfydggcyb xflqvadt,zgxdfdg fatkycblvfyq,4,Rail Fence
dpd dk cy fvgwcjqxzl,ifydwncflqpiiupoldvn,fqvqt,Autokey
pkkvlumrekdujihmhdwe,qbbiefhwjbgfyvshsglj,"(3, 23)",Affine
fvefyluzkowbfvgseluq,fkevzosleuwguflbvqyf,5,Rail Fence
eb tfhzlwldpcpbruots,gv jbrfxuxldqdvteijo,"(21, 0)",Affine
yiomkspjrjknpezugbly,lvbzxfcwewxacrmhtoyl,None,ROT13
ubsvqrkxiaqlenkzer e,fyhejipcrzjovmpavi v,None,Atbash
yqckntwqalccnpktpjcm,ynanpqktqlcptjmcwckc,3,Rail Fence
qvzjzyohcggynsnezgpf,dimwmlbupttlafarmtcs,None,ROT13
uzbcstgrom rmbehz cm,fayxhgtiln inyvsa xn,None,Atbash
jm jistnz exldstunmm,jz vpktal lplqeamnzy,anmhs,Vigenère
grgulmcnmejx rpfcjng,gglcmj pcnrumnexrfjg,2,Rail Fence
cjncroxgfkdqdwbapdtq,crfdpjcogkqwadqnxdbt,3,Rail Fence
x ptufjldklbzwcsvmon,xdv lksmpjlcotfbwnuz,5,Rail Fence
iihprvgzdotngtwqhrbv,ccbjlpatxinhanqkblvp,20,Caesar
sdwtbryfurtlipccetk ,cngdlbipebdvszmmodu ,"(1, 10)",Affine
jjdqxvtynmqoflldrvlt,kkerywuzonrpgmmeswmu,1,Caesar
cnuya kalsiamssghlne,wuqgmpxujsvkmdkohxfw,uhwim,Autokey
xjuig atnbefqkmvneso,nzkyw qjdruvgaclduie,16,Caesar
zeypmqonwyootcgvmghq,zymowotgmhepqnyocvgq,2,Rail Fence
skufyfkjkrvtpqgamrub,sykpmkffjrtqarbukvgu,3,Rail Fence
emjzxxbwjwizkvrmlvrk,rzwmkkojwjvmxiezyiex,None,ROT13
ypttxpjopcu vpjlvec ,jaeeiauzanf gauwgpn ,11,Caesar
ibckbbokyzsomhbbnmfw,wylhgpltveglvegpkvcb,oxjxf,Vigenère
wpukwxkx nama njkhhr,mhjmancm pecs cloxzg,qspce,Vigenère
kzgqblsyafdhsyptthks,patjyohbzuwshbkggsph,None,Atbash
utmowfjtfxkozmfxpfag,hgzbjswgskxbmzskcsnt,None,ROT13
dms njjcujhkdcxbdtab,wnh mqqxfqspwxcywgzy,None,Atbash
hgiikcgzpw dhvhno dr,baaaqwarhc xbnzti xj,uussg,Vigenère
grogsvtnfuxivxjnzudk,knykshxtfcruhrztbcve,"(5, 6)",Affine
sbwmbrbzpsvtdrulokub,hydnyiyakhegwifolpfy,None,Atbash
 e hueczriymxzvhdlic, h ivhpourfbwoeiysrp,"(9, 23)",Affine
uiaw vjphsyzie ewgxd,frzd eqkshbarv vdtcw,None,Atbash
lmvbcsuqzxozaayrmgsc,lduvoscqzawzmmxbdpso,mvoygrpjntkldhweqbsfcuiaxz,Substitution
hjkaepylxzmpzzejeska,uwxnrclykmzcmmrwrfxn,None,ROT13
